+------------------------------------------+---------------------------------------------------------------------------------+-----------------------------+-------------------+----------------+-------------------------------------------------------------------------------------+
| Meter Name                               | Product Name                                                                    | SKU Name                    | Unit of Measure   |   Retail Price | ARM SKU Name                                                                        |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute | vCore                       | 1 Hour            |    1018        | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Eadsv6_Series                        |
| vCore                                    | Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute | vCore                       | 1 Hour            |    2036        | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Eadsv6_Series                        |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Dsv6 Series Compute    | vCore                       | 1 Hour            |       0.116    | Azure_Database_for_MySQL_Flexible_Server_General_Purpose_Dsv6_Series_Compute_vCore  |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Dsv6 Series Compute    | vCore                       | 1 Hour            |     608        | Azure_Database_for_MySQL_Flexible_Server_General_Purpose_Dsv6_Series_Compute_vCore  |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Dsv6 Series Compute    | vCore                       | 1 Hour            |    1217        | Azure_Database_for_MySQL_Flexible_Server_General_Purpose_Dsv6_Series_Compute_vCore  |
| B2S                                      | Azure Database for MySQL Flexible Server Burstable BS Series Compute            | B2S                         | 1 Hour            |       0.088    | B2S                                                                                 |
| 1 vCore                                  | Azure Database for MySQL Flexible Server Confidential Compute ECadsv6 Series    | 1 vCore                     | 1 Hour            |       0.1311   | AzureDB_MySQL_Flexible_Server_Confidential_Compute_ECadsv6_Series                   |
| 1 vCore                                  | Azure Database for MySQL Flexible Server Memory Optimized Easv6 Series Compute  | 1 vCore                     | 1 Hour            |       0.163    | AzureDB_MySQL_Flexible_Server_Memory_Optimized_Easv6_Series                         |
| vCore                                    | Azure Database for MySQL Flexible Server Confidential Compute ECadsv6 Series    | vCore                       | 1 Hour            |       0.1311   | AzureDB_MySQL_Flexible_Server_Confidential_Compute_ECadsv6_Series                   |
| vCore                                    | Azure Database for MySQL Flexible Server Confidential Compute ECadsv6 Series    | vCore                       | 1 Hour            |     689        | AzureDB_MySQL_Flexible_Server_Confidential_Compute_ECadsv6_Series                   |
| vCore                                    | Azure Database for MySQL Flexible Server Confidential Compute ECadsv6 Series    | vCore                       | 1 Hour            |    1378        | AzureDB_MySQL_Flexible_Server_Confidential_Compute_ECadsv6_Series                   |
| Paid IO ZRS IO Rate Operations           | Azure Database for MySQL Flexible Server Storage                                | Paid IO ZRS                 | 1M                |       0.325    | Paid IO ZRS                                                                         |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Dadsv6 Series Compute  | vCore                       | 1 Hour            |       0.146    | AzureDB_MySQL_Flexible_Server_General_Purpose_Compute_Dadsv6_Series                 |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Dadsv6 Series Compute  | vCore                       | 1 Hour            |     766        | AzureDB_MySQL_Flexible_Server_General_Purpose_Compute_Dadsv6_Series                 |
| vCore                                    | Azure Database for MySQL Flexible Server General Purpose Dadsv6 Series Compute  | vCore                       | 1 Hour            |    1530        | AzureDB_MySQL_Flexible_Server_General_Purpose_Compute_Dadsv6_Series                 |
+------------------------------------------+---------------------------------------------------------------------------------+-----------------------------+-------------------+----------------+-------------------------------------------------------------------------------------+
